Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00899336,-0.041676,-0.0325359,-2.57809,19.1241,51.1294
2,0,-0.00854034,-0.0401863,-0.0323599,-2.54419,19.0788,51.1622
3,0,-0.00831253,-0.039676,-0.0328319,-2.53576,19.068,51.1866
4,0,-0.0080413,-0.0402201,-0.0332263,-2.52933,19.0644,51.1392
5,0,-0.00828283,-0.0395955,-0.0334476,-2.51945,19.0361,51.1707
6,0,-0.0094986,-0.0400954,-0.0338893,-2.48399,19.028,51.1926
7,0,-0.00879523,-0.0408763,-0.0345163,-2.4817,18.9929,51.1871
8,0,-0.0101358,-0.0430475,-0.0358633,-2.43729,18.9907,51.1576
9,0,-0.0113132,-0.0407338,-0.0367292,-2.46401,19.0004,51.1956
10,0,-0.00946347,-0.0418484,-0.0361078,-2.45184,19.0027,51.1899
11,0,-0.00948956,-0.0405183,-0.0358893,-2.5335,18.985,51.1935
12,0,-0.0102686,-0.0401509,-0.0354804,-2.55453,18.9808,51.1697
13,0,-0.00869458,-0.0396901,-0.0342022,-2.59296,18.9825,51.2412
14,0,-0.00803461,-0.0387637,-0.0329694,-2.58994,18.9565,51.2167
15,0,-0.00820735,-0.0385517,-0.032886,-2.61069,18.949,51.2232
16,0,-0.00716762,-0.0291593,-0.0239863,-3.01384,18.5888,51.4443
17,0,-0.00817935,-0.02829,-0.024379,-2.97897,18.6045,51.4444
18,0,-0.00788912,-0.0251159,-0.0251026,-2.91921,18.6232,51.4311
19,0,-0.00661488,-0.0273069,-0.0252962,-2.9134,18.6476,51.4442
20,0,-0.00626626,-0.025032,-0.0253183,-2.86711,18.6618,51.4434
21,0,-0.00658761,-0.0240657,-0.0262047,-2.8618,18.6418,51.5192
22,0,-0.00537785,-0.0244377,-0.0250141,-2.81554,18.6405,51.4375
23,0,-0.00602756,-0.0219849,-0.0260529,-2.7876,18.6311,51.5101
24,0,-0.00458871,-0.0214065,-0.0255035,-2.72443,18.6435,51.5125
25,0,-0.00442145,-0.0173382,-0.0259918,-2.7041,18.6117,51.5483
26,0,-0.00233341,-0.0134578,-0.0252812,-2.67325,18.6064,51.5799
27,0,-0.00168455,-0.0125015,-0.0246634,-2.59679,18.6257,51.5988
28,0,0.000321798,-0.0220683,-0.0267145,-2.42518,18.6845,51.4352
29,0,0.00133788,-0.0241254,-0.0270624,-2.33832,18.73,51.3124
30,0,0.000747303,-0.0230143,-0.0280549,-2.31382,18.7403,51.386
31,0,-0.00111776,-0.0194227,-0.0236406,-2.49499,18.5901,51.4676
32,0,-0.00108087,-0.0204683,-0.0246416,-2.50796,18.5601,51.4515
33,0,-0.00232442,-0.019732,-0.0258024,-2.55297,18.571,51.5303
34,0,-0.00158005,-0.021062,-0.0244259,-2.49197,18.5541,51.4513
35,0,-0.00182577,-0.0192561,-0.0248871,-2.53995,18.5597,51.5449
36,0,0.000452127,-0.0181831,-0.0235457,-2.47863,18.5686,51.4236
37,0,-0.00122645,-0.0204226,-0.0244493,-2.51945,18.5521,51.5064
38,0,-0.000331016,-0.0189473,-0.0245482,-2.53727,18.5308,51.4622
39,0,-0.00141988,-0.022055,-0.0247009,-2.51648,18.579,51.4334
40,0,-0.00205608,-0.0225877,-0.025112,-2.48899,18.5807,51.4797
41,0,-0.00299616,-0.0266146,-0.0269242,-2.52864,18.6091,51.4426
42,0,-0.00398563,-0.0269969,-0.0277644,-2.52097,18.7144,51.4504
43,0,-0.00509789,-0.0300943,-0.029581,-2.49363,18.7643,51.3896
44,0,-0.00480104,-0.0339307,-0.0307114,-2.48432,18.8623,51.3256
45,0,-0.00627019,-0.0319308,-0.0312693,-2.48162,18.9449,51.3973
46,0,-0.00643404,-0.0332891,-0.0327401,-2.47522,19.0053,51.353
47,0,-0.00407002,-0.0335402,-0.0326369,-2.45543,19.1298,51.3557
48,0,-0.00628524,-0.0313374,-0.0327209,-2.47242,19.173,51.3414
49,0,-0.00430973,-0.0350558,-0.0339038,-2.46646,19.2897,51.3028
50,0,-0.00469766,-0.0361336,-0.0340557,-2.44871,19.3761,51.379
51,0,-0.00829116,-0.0338763,-0.0358778,-2.48065,19.4268,51.3406
52,0,-0.00694162,-0.0363515,-0.0353711,-2.36451,19.58,51.3447
53,0,-0.00646859,-0.035012,-0.0349151,-2.39918,19.6663,51.3755
54,0,-0.00711624,-0.0360997,-0.0354038,-2.35704,19.8285,51.2822
55,0,-0.00433041,-0.0369489,-0.0340014,-2.33058,19.9145,51.3286
56,0,-0.00679814,-0.0347792,-0.0361577,-2.28447,20.051,51.2178
57,0,-0.00412985,-0.0351951,-0.0342655,-2.31221,20.2238,51.2979
58,0,-0.00377008,-0.0338442,-0.0345848,-2.26821,20.3718,51.2695
59,0,-0.00552727,-0.0319005,-0.0344482,-2.24549,20.5291,51.2587
60,0,-0.00482884,-0.0326608,-0.0347458,-2.22277,20.729,51.2838
61,0,-0.00699101,-0.0323238,-0.0350448,-2.19543,20.8977,51.3044
62,0,-0.00665482,-0.0335243,-0.0364437,-2.15593,21.0803,51.3931
63,0,-0.00568778,-0.0363369,-0.0362247,-2.14017,21.2713,51.5174
64,0,-0.00284719,-0.0375412,-0.0344719,-2.11025,21.5228,51.6946
